EmailAttachments,URLCount,SenderReputation,SuspiciousKeywords,EmailSize,LinkEntropy,DomainRiskScore,AccountAge,PhishingLabel
1,9,96,2,419.54,0.829,0.046,27,0
4,0,37,2,0.0,1.56,0.106,21,0
5,4,41,7,201.8,3.004,0.44,35,1
2,6,164,7,483.81,2.802,0.476,88,1
0,7,0,0,59.87,1.158,0.816,96,1
3,1,44,4,395.92,0.891,0.68,76,1
0,3,51,1,484.5,2.813,0.153,87,1
2,1,162,3,202.51,2.867,0.226,36,0
4,3,32,4,341.65,1.782,0.286,113,1
1,0,197,7,303.0,3.45,0.124,93,1
5,5,30,2,392.68,3.924,0.288,67,1
5,1,32,1,439.78,1.22,0.729,43,0
1,3,116,3,321.37,2.52,0.241,8,0
1,3,197,3,417.16,0.519,0.835,98,0
2,0,120,3,190.53,2.996,0.47,78,0
1,1,57,7,0.0,1.95,0.323,36,1
0,2,20,0,243.8,1.176,0.412,48,0
2,4,58,0,0.0,3.133,0.709,46,1
2,7,46,1,134.26,3.337,0.517,32,1
1,5,55,2,356.16,0.889,0.007,7,0
0,2,179,6,227.34,0.643,0.922,74,0
2,5,188,1,408.01,1.669,0.066,12,0
3,6,0,2,66.58,2.691,0.939,55,1
1,5,50,4,350.59,3.277,0.028,104,1
1,9,146,7,342.42,2.411,0.771,23,1
0,5,25,6,473.42,2.533,0.535,75,1
4,0,108,3,371.02,3.3,0.506,52,0
0,2,199,3,408.34,2.351,0.073,13,0
1,6,169,0,0.0,2.639,0.239,76,1
2,3,50,7,353.77,2.307,0.778,71,1
4,3,119,6,180.57,3.582,0.891,53,1
1,6,92,4,441.4,1.324,0.529,63,1
1,8,65,5,386.41,0.0,0.353,108,1
0,1,116,4,241.0,0.948,0.06,74,0
0,8,190,2,369.74,3.368,0.682,71,1
0,2,20,4,440.46,1.941,0.278,51,1
3,5,191,6,489.04,1.718,0.055,58,0
2,3,76,6,478.56,3.935,0.666,27,1
1,0,28,0,0.0,3.744,0.486,7,1
2,8,24,2,239.76,3.902,0.012,119,1
2,5,98,1,99.29,0.998,0.111,50,0
2,7,0,2,161.39,3.619,0.699,24,1
0,1,28,1,447.09,1.65,0.064,87,0
1,6,192,0,212.38,0.544,0.866,25,1
3,5,43,2,329.25,1.87,0.311,44,0
2,1,189,3,349.68,2.282,0.089,36,0
4,1,169,5,401.82,0.879,0.76,57,0
0,3,0,1,132.26,2.382,0.524,97,0
0,3,79,0,187.17,0.0,0.307,37,1
0,2,105,5,251.75,1.822,0.406,106,0
0,7,184,5,214.18,1.734,0.021,103,1
1,6,135,0,492.31,1.686,0.663,52,1
2,1,186,1,425.72,3.731,0.366,63,0
2,2,103,7,265.86,0.671,0.714,7,0
5,9,109,1,445.67,2.058,0.628,94,0
0,8,108,2,206.44,1.426,0.651,60,0
4,4,139,3,403.62,3.628,0.793,95,0
3,1,175,5,150.65,0.836,0.631,109,0
3,2,162,2,397.54,1.94,0.419,110,0
3,7,25,2,255.4,1.924,0.39,37,1
2,3,71,3,98.37,3.609,0.12,21,1
1,1,159,7,172.97,1.254,0.779,98,0
3,1,38,2,0.0,2.757,0.761,46,1
2,5,94,7,387.18,0.97,0.246,21,0
1,7,149,3,82.84,3.839,0.863,104,1
3,6,74,0,346.8,2.576,0.589,84,1
1,3,34,3,372.21,2.692,0.479,98,1
2,1,119,4,344.26,2.018,0.017,72,0
1,8,88,3,392.3,1.698,0.383,96,0
0,3,162,3,130.18,1.244,0.641,52,0
2,8,62,6,314.2,2.614,0.09,94,1
0,4,36,4,473.52,3.841,0.46,29,1
1,6,117,3,324.85,1.759,0.993,69,0
2,4,135,1,325.1,3.591,0.717,94,0
0,1,171,7,381.4,1.021,0.547,76,0
2,5,93,6,199.94,3.776,0.533,39,1
4,6,135,2,365.21,1.727,0.044,27,0
0,5,49,2,462.31,1.829,0.957,117,0
2,2,86,0,54.9,2.12,0.928,77,0
1,9,70,0,441.55,3.014,0.682,111,1
1,7,79,0,148.38,3.019,0.099,10,1
1,2,22,1,255.17,2.179,0.208,36,0
0,4,123,0,433.56,2.331,0.184,95,0
0,8,24,2,420.76,0.605,0.52,16,1
4,4,47,0,451.37,1.565,0.208,103,0
2,6,127,0,473.19,1.711,0.696,109,0
1,6,158,3,251.22,2.456,0.545,36,0
1,4,120,0,345.36,2.454,0.018,90,0
3,1,95,7,225.72,2.985,0.744,108,1
3,4,34,4,207.82,3.01,0.189,84,1
2,6,102,0,244.22,1.323,0.825,34,1
2,6,67,2,384.38,3.196,0.355,37,1
3,3,146,4,275.65,0.569,0.339,72,0
1,0,65,6,416.33,3.007,0.012,68,1
0,5,47,4,385.35,0.857,0.988,59,1
1,2,26,5,59.22,3.054,0.612,29,1
1,4,113,1,333.61,2.345,0.423,31,0
4,0,101,6,246.46,2.03,0.097,66,0
2,1,107,6,255.48,2.917,0.699,89,1
5,6,153,5,418.27,0.627,0.283,102,1
2,4,87,5,296.42,1.282,0.988,3,0
0,6,74,3,448.53,2.658,0.951,110,1
3,8,196,4,370.76,3.465,0.735,106,1
2,3,137,1,298.78,1.834,0.971,107,0
3,4,198,2,389.54,1.406,0.106,69,0
1,0,153,2,67.26,2.316,0.28,22,0
8,9,127,1,62.19,2.678,0.253,80,1
1,3,70,6,87.51,1.97,0.072,73,1
2,4,57,4,246.9,3.568,0.972,53,1
2,4,158,7,155.95,2.332,0.06,48,0
0,7,199,4,492.92,0.625,0.857,73,1
3,3,112,3,294.03,1.281,0.768,113,0
4,3,39,3,348.09,2.077,0.376,76,0
0,6,29,5,175.47,2.942,0.019,47,1
0,4,45,2,194.81,1.269,0.006,42,0
3,5,67,3,200.96,3.917,0.204,4,1
0,5,110,1,364.43,1.615,0.494,113,0
0,5,133,2,263.17,2.364,0.458,82,0
1,9,33,6,282.96,0.566,0.585,82,1
1,4,119,7,316.4,3.597,0.772,42,1
2,4,31,6,395.97,3.261,0.377,43,1
2,8,135,4,90.67,1.184,0.16,117,1
2,7,142,2,399.59,3.766,0.8,97,1
2,3,42,0,303.46,1.605,0.333,42,0
2,6,104,2,351.09,2.923,0.287,3,1
1,7,91,3,197.4,3.366,0.764,59,1
1,8,186,7,234.22,3.093,0.934,102,1
0,4,141,1,154.02,3.712,0.915,81,0
0,2,156,4,0.0,3.525,0.137,76,1
0,3,114,4,273.65,3.981,0.503,11,1
0,9,44,3,0.0,1.139,0.093,81,1
1,5,36,3,270.4,1.567,0.961,35,0
2,9,189,3,148.89,0.0,0.215,105,1
1,4,48,0,278.35,3.066,0.197,50,1
0,8,86,1,67.82,2.371,0.889,63,0
0,2,104,0,457.15,0.759,0.968,70,0
0,1,76,3,418.35,3.446,0.698,99,1
1,0,91,1,376.62,3.863,0.121,6,0
0,6,33,6,324.42,1.919,0.486,32,1
0,4,58,6,310.93,1.287,0.817,11,1
1,0,163,3,498.53,0.568,0.572,43,0
1,2,37,1,175.1,1.331,0.133,39,0
1,2,94,7,400.86,2.95,0.172,13,1
2,3,121,4,311.63,3.691,0.864,13,1
2,9,39,0,489.15,0.827,0.527,39,1
2,5,136,5,422.51,2.436,0.706,46,0
0,4,193,3,499.34,2.934,0.373,34,0
0,0,136,3,314.75,1.467,0.532,67,0
1,5,192,2,142.04,2.495,0.977,32,0
2,8,23,5,276.66,3.003,0.33,68,1
1,0,103,7,370.0,3.432,0.675,104,1
1,7,167,4,398.46,2.084,0.173,117,1
3,7,158,3,0.0,3.118,0.122,65,1
2,2,133,7,277.26,0.0,0.784,73,0
1,8,84,0,155.86,1.246,0.844,113,0
0,7,165,4,443.71,1.156,0.668,114,1
1,2,186,3,118.81,1.756,0.158,7,0
1,9,0,0,349.91,0.626,0.241,91,1
4,4,137,2,169.73,1.49,0.911,3,0
0,2,119,2,210.44,2.783,0.289,86,0
3,4,37,6,473.25,2.768,0.819,80,1
0,8,194,0,158.2,0.757,0.286,72,0
1,3,178,4,92.75,1.506,0.939,69,0
2,5,147,0,81.18,2.493,0.914,49,0
2,0,186,5,277.08,1.615,0.043,58,0
0,2,0,0,338.77,1.963,0.77,94,0
0,4,194,2,197.28,2.995,0.169,28,0
1,7,155,2,360.62,0.532,0.215,115,0
0,7,123,2,77.47,1.467,0.46,27,0
1,2,32,5,435.8,0.998,0.576,114,1
1,7,74,3,417.46,0.947,0.326,22,1
1,7,107,6,0.0,3.857,0.575,94,1
1,2,104,5,471.43,1.818,0.171,101,0
4,9,128,3,210.29,2.345,0.022,71,0
0,9,62,5,229.67,3.068,0.571,114,1
3,1,151,1,385.68,0.666,0.517,94,0
1,9,90,3,110.34,1.344,0.69,13,0
0,1,31,0,0.0,3.413,0.65,22,1
1,8,78,4,103.34,3.517,0.897,75,1
1,6,63,6,0.0,1.805,0.459,5,1
0,5,35,7,298.4,1.812,0.008,22,1
1,6,153,2,145.02,3.149,0.631,79,1
1,7,33,5,61.98,1.533,0.675,53,1
2,0,134,0,373.71,0.91,0.521,39,0
1,7,131,2,59.0,1.401,0.689,37,0
0,2,142,6,488.03,1.856,0.324,31,0
3,2,77,0,149.72,0.683,0.149,62,0
3,5,0,5,348.76,2.175,0.665,93,0
1,3,188,2,245.64,3.09,0.245,103,0
3,3,139,2,76.85,2.298,0.456,81,0
2,3,54,7,262.48,0.752,0.492,105,1
0,9,29,7,282.54,2.041,0.477,6,1
3,8,100,4,434.61,2.981,0.598,105,1
1,7,177,0,379.56,0.703,0.029,81,0
0,2,63,1,85.69,0.709,0.99,34,0
0,0,90,1,144.12,1.797,0.716,87,0
3,0,0,2,190.35,1.182,0.425,52,0
3,0,102,7,102.38,3.772,0.191,30,1
1,0,98,5,255.6,2.535,0.08,13,1
2,5,105,2,492.94,1.506,0.672,58,0
1,0,186,6,281.58,2.967,0.317,94,1
1,2,61,0,383.85,1.812,0.229,113,1
2,7,143,7,357.32,0.962,0.38,53,1
2,7,49,6,432.46,1.33,0.593,20,1
0,5,39,0,147.08,2.75,0.672,6,1
4,8,145,6,389.22,0.682,0.645,55,1
0,9,115,7,446.61,1.454,0.863,31,1
1,0,144,2,127.18,1.229,0.219,59,0
1,7,61,6,206.06,1.204,0.637,19,1
3,5,108,5,0.0,2.89,0.101,70,1
1,0,0,1,401.35,0.0,0.548,98,0
1,3,24,0,177.17,3.006,0.584,28,1
2,4,69,2,303.77,2.76,0.216,13,1
1,6,60,0,231.95,0.0,0.392,52,1
3,7,113,7,270.48,0.704,0.827,74,1
1,8,186,4,209.82,1.086,0.148,61,1
0,5,76,6,0.0,1.95,0.435,41,1
2,9,184,1,353.64,0.0,0.933,45,0
2,8,154,5,400.34,1.963,0.504,7,1
2,3,152,0,443.28,1.223,0.725,82,0
0,7,70,1,119.9,1.023,0.827,86,1
5,2,125,6,420.28,2.282,0.204,14,0
0,3,155,2,164.66,3.748,0.218,36,0
2,9,30,7,242.3,1.872,0.759,8,1
4,3,169,5,455.65,0.652,0.753,12,0
2,5,117,5,254.53,2.972,0.06,40,1
4,8,118,3,138.68,1.519,0.322,112,0
0,5,158,0,121.94,0.0,0.399,97,0
2,0,115,7,262.84,1.635,0.829,88,0
1,4,125,1,393.2,3.033,0.422,106,0
2,8,162,0,498.74,3.366,0.926,103,1
2,4,185,2,404.33,2.558,0.997,62,0
1,5,0,2,444.66,1.629,0.781,14,0
0,2,65,7,386.52,1.587,0.666,49,1
0,7,107,6,452.95,0.935,0.392,51,1
1,9,190,5,84.33,3.767,0.067,62,1
2,3,41,7,468.47,2.733,0.573,5,1
1,3,22,0,0.0,0.594,0.362,83,1
1,4,161,1,464.73,2.818,0.351,67,0
1,9,149,4,84.08,2.065,0.688,1,1
1,8,80,0,371.86,3.904,0.464,104,1
3,7,0,0,381.06,3.367,0.752,105,1
1,6,57,2,498.61,1.1,0.398,101,1
1,4,65,0,395.98,3.02,0.151,97,1
0,8,0,1,222.16,2.199,0.461,49,0
0,8,153,3,300.76,1.155,0.951,110,0
2,9,60,7,214.95,2.946,0.802,17,1
2,9,172,5,138.21,2.416,0.206,73,1
1,1,158,2,161.83,0.0,0.391,95,0
1,3,129,7,149.9,2.763,0.928,35,1
0,7,60,5,296.97,2.722,0.124,67,1
3,0,76,5,457.77,1.004,0.254,13,1
2,4,193,5,460.73,1.721,0.262,116,0
0,7,142,3,74.64,2.551,0.571,37,1
2,1,0,7,85.95,0.986,0.411,38,0
0,0,195,0,0.0,3.485,0.08,78,0
1,7,82,4,164.78,0.596,0.629,6,1
0,9,58,5,92.7,0.86,0.099,93,1
0,8,157,1,0.0,0.906,0.606,63,0
1,6,183,5,314.48,2.348,0.507,49,1
1,7,46,5,310.17,2.67,0.494,9,1
0,4,100,7,294.54,1.913,0.067,36,0
1,0,126,0,0.0,1.51,0.639,23,0
3,3,55,6,367.91,3.333,0.431,79,1
0,1,104,1,421.92,0.739,0.411,118,0
2,2,174,0,205.82,1.481,0.596,57,0
0,2,188,5,88.49,0.0,0.606,50,0
0,8,47,7,183.35,0.549,0.015,111,1
0,9,35,6,0.0,1.737,0.125,59,1
0,3,54,0,260.31,1.182,0.237,114,0
2,1,183,0,120.17,1.439,0.678,7,0
2,2,118,2,258.28,3.373,0.577,47,0
2,2,166,3,149.45,1.07,0.758,89,0
2,6,141,6,382.43,3.231,0.741,101,1
1,7,180,4,62.41,2.863,0.853,87,1
2,5,42,6,299.64,1.643,0.377,75,1
4,3,138,3,0.0,2.413,0.345,56,0
0,5,82,3,50.45,2.056,0.831,110,0
1,0,89,1,441.14,0.949,0.238,8,0
1,9,169,2,352.19,0.0,0.461,36,1
0,7,99,2,94.52,2.494,0.194,42,0
3,0,78,0,348.83,3.581,0.914,39,1
1,4,0,3,325.24,3.383,0.408,65,0
1,1,36,6,0.0,0.779,0.212,116,1
1,5,58,4,238.67,1.225,0.692,44,1
3,8,96,1,0.0,1.008,0.245,77,0
0,4,111,6,160.32,0.0,0.944,80,1
0,3,186,2,229.24,3.519,0.368,46,0
4,1,43,0,198.1,2.348,0.665,13,0
0,2,185,4,397.04,0.865,0.345,37,0
2,5,107,3,462.41,0.975,0.807,14,0
1,7,63,7,432.4,3.347,0.897,13,1
0,7,55,7,408.97,3.752,0.788,110,1
1,4,118,6,494.06,1.198,0.848,12,0
1,4,89,4,363.72,0.539,0.102,55,0
1,9,141,0,387.97,1.658,0.924,28,1
2,2,143,2,492.26,0.607,0.624,22,0
2,6,0,7,53.15,3.398,0.869,84,1
2,5,64,1,335.32,2.22,0.684,111,0
0,0,173,6,382.54,2.747,0.202,19,1
1,3,158,7,463.02,1.94,0.61,75,0
0,5,199,3,447.73,1.709,0.091,30,0
2,5,172,1,428.88,1.278,0.696,54,0
1,2,50,5,475.61,3.197,0.409,90,1
0,5,104,7,291.82,2.934,0.152,15,1
3,9,64,7,53.11,1.763,0.979,30,1
1,5,134,4,54.97,1.624,0.901,29,0
2,8,0,7,295.09,0.504,0.894,32,1
1,8,95,7,245.87,0.722,0.789,117,1
0,1,59,4,253.06,2.681,0.692,30,1
1,3,193,0,230.18,2.301,0.655,108,0
2,8,60,3,462.98,2.022,0.106,115,1
4,3,139,4,211.63,3.396,0.901,16,1
2,7,100,2,435.3,2.264,0.881,36,0
1,9,57,5,456.29,1.846,0.748,82,1
2,2,119,2,274.78,1.064,0.927,105,0
2,2,183,1,251.12,3.372,0.553,48,0
2,8,191,5,392.46,2.517,0.448,103,1
1,9,0,7,0.0,0.824,0.968,28,1
6,7,85,5,197.84,2.771,0.464,62,1
1,0,49,2,96.15,1.988,0.641,83,0
1,9,29,7,169.18,3.34,0.373,56,1
0,1,80,4,108.96,3.716,0.636,56,1
0,2,55,2,182.63,2.602,0.72,75,1
2,1,73,3,167.82,3.061,0.625,17,1
0,2,116,1,336.97,0.698,0.515,62,0
1,7,23,6,479.52,2.461,0.3,21,1
2,5,73,5,358.58,3.144,0.644,37,1
2,6,130,0,466.99,2.239,0.908,108,1
0,9,110,3,402.86,2.577,0.007,115,1
1,9,108,4,377.54,3.646,0.134,34,1
5,5,83,4,236.33,1.193,0.12,97,0
2,0,138,2,196.16,0.0,0.923,29,0
4,2,111,0,430.82,2.917,0.663,68,0
2,0,169,5,457.43,3.38,0.952,96,1
0,9,172,5,253.35,3.477,0.583,60,1
1,8,100,0,54.08,2.746,0.462,11,1
1,8,78,4,406.64,3.416,0.792,90,1
0,4,63,4,178.28,2.952,0.161,82,1
0,3,199,6,54.45,0.806,0.381,117,0
2,8,95,6,412.24,3.167,0.466,96,1
1,8,163,5,282.84,1.128,0.298,60,1
2,2,120,0,358.34,1.328,0.371,91,0
3,4,144,6,461.61,1.881,0.078,80,0
1,2,35,7,293.53,1.601,0.198,74,1
2,9,74,1,276.44,1.626,0.335,108,1
2,1,114,5,180.8,1.092,0.796,34,0
1,0,98,4,187.34,1.529,0.182,33,0
0,9,96,7,408.44,0.569,0.347,10,1
0,1,59,4,252.06,2.155,0.065,106,1
2,7,40,6,123.59,3.19,0.557,60,1
4,7,85,1,92.54,3.518,0.611,26,1
2,2,155,6,262.81,3.371,0.866,106,1
0,6,29,6,259.23,1.958,0.819,25,1
1,6,151,3,344.06,3.056,0.285,2,1
1,1,62,3,261.98,1.508,0.137,90,0
2,8,124,1,114.56,0.694,0.156,84,0
2,2,82,1,278.51,2.866,0.969,3,0
5,1,190,3,458.06,2.771,0.673,32,0
0,2,101,3,121.75,3.306,0.043,1,0
1,1,70,3,360.39,0.0,0.137,24,1
1,7,75,3,317.24,1.049,0.486,50,1
1,4,190,5,386.86,3.486,0.208,43,1
0,2,171,5,117.77,2.695,0.804,44,1
1,4,53,6,473.72,3.327,0.573,33,1
2,7,78,2,329.43,3.209,0.613,38,1
2,6,149,6,431.18,1.543,0.463,112,1
2,5,149,1,160.97,0.761,0.256,52,0
6,0,157,0,382.74,0.0,0.589,35,0
3,9,170,2,401.46,0.825,0.717,17,0
0,0,162,0,228.85,1.352,0.371,58,0
2,0,137,0,222.78,2.108,0.505,48,0
1,9,147,4,346.01,3.674,0.84,43,1
2,0,36,7,92.03,0.0,0.149,48,1
3,7,101,1,381.03,3.015,0.545,44,1
1,6,33,5,69.3,0.584,0.348,33,1
2,5,100,0,135.77,1.695,0.703,75,0
3,3,142,6,348.86,2.888,0.019,87,1
3,0,35,1,94.25,0.952,0.67,102,0
2,8,0,3,487.33,3.304,0.103,96,1
2,0,42,1,440.78,3.701,0.065,83,1
1,3,121,0,0.0,1.739,0.725,76,0
0,2,181,5,418.58,2.97,0.64,92,1
1,6,117,3,449.41,1.019,0.895,2,0
1,4,163,1,166.76,2.918,0.52,10,0
4,4,181,1,432.24,0.575,0.53,83,0
1,3,123,5,137.66,1.028,0.707,28,0
0,0,145,0,236.0,2.985,0.323,47,0
1,4,180,6,301.22,2.991,0.037,8,1
3,3,87,3,371.25,2.744,0.23,107,0
2,9,190,0,63.56,2.171,0.238,23,0
0,7,83,5,180.73,2.862,0.336,48,1
2,1,90,1,323.83,3.208,0.943,109,0
0,7,37,0,210.82,3.883,0.805,94,1
2,0,132,2,398.76,3.61,0.936,92,0
1,0,144,0,343.24,3.281,0.999,63,0
2,2,146,4,155.48,2.932,0.434,77,1
2,4,80,7,115.67,2.51,0.227,119,1
3,4,94,0,333.07,0.922,0.56,37,0
0,4,126,5,252.71,1.079,0.881,12,0
0,3,167,7,126.03,3.371,0.466,74,1
2,7,158,5,196.87,3.312,0.505,115,1
2,2,193,5,186.37,2.651,0.134,81,1
5,3,100,3,98.66,2.036,0.42,65,0
0,0,125,4,296.11,0.591,0.387,86,0
0,6,47,3,393.64,1.645,0.352,15,1
3,0,195,6,308.96,1.972,0.887,80,0
0,1,182,0,421.83,2.2,0.059,84,0
0,6,27,2,107.41,3.753,0.972,119,1
2,0,110,6,246.03,0.0,0.008,10,0
1,2,169,7,324.24,2.316,0.946,42,0
1,5,140,7,354.2,1.788,0.548,26,0
2,5,171,2,0.0,3.965,0.702,49,0
0,5,85,1,378.03,3.517,0.187,118,0
0,1,114,3,343.14,2.036,0.654,23,0
1,1,83,0,92.4,3.999,0.882,64,0
1,5,84,6,362.89,2.299,0.139,17,0
3,9,144,1,376.15,1.085,0.127,34,0
1,4,33,3,497.07,2.446,0.304,105,0
2,6,44,7,362.01,1.292,0.162,57,1
2,6,119,0,359.07,2.727,0.111,86,1
1,4,124,4,281.67,3.781,0.678,4,1
1,7,150,6,440.57,3.252,0.214,71,1
0,9,152,3,498.58,1.456,0.667,69,0
1,5,84,4,400.57,1.539,0.862,95,0
0,4,38,6,325.63,0.743,0.652,83,1
1,3,125,4,85.53,1.501,0.119,68,0
3,6,73,6,377.03,0.824,0.574,50,1
0,3,157,2,368.85,2.248,0.394,86,0
0,4,163,0,399.01,2.979,0.343,67,0
2,4,123,6,106.05,3.129,0.319,87,1
1,0,193,7,344.18,0.708,0.929,68,0
4,0,176,3,183.08,1.69,0.743,110,0
2,2,34,0,392.12,1.509,0.134,88,0
3,2,0,4,0.0,0.865,0.476,59,1
3,1,158,2,357.79,1.769,0.318,78,0
0,1,53,6,182.75,1.548,0.978,113,1
1,5,183,0,54.05,2.721,0.978,105,0
1,0,177,1,335.01,3.592,0.32,115,0
2,5,118,4,100.97,2.092,0.352,63,0
3,4,38,1,346.68,3.113,0.599,67,1
1,5,89,5,466.52,1.011,0.479,111,0
3,4,134,0,486.16,3.632,0.213,85,0
1,6,180,0,156.17,1.034,0.66,26,0
0,0,115,0,414.16,1.172,0.334,1,0
1,2,94,5,209.1,0.873,0.654,94,0
3,5,169,7,455.21,1.584,0.384,115,0
1,0,55,3,404.37,2.433,0.7,68,0
1,6,0,4,83.26,3.958,0.668,78,1
2,3,82,4,233.21,3.277,0.509,18,1
4,2,173,6,201.79,0.0,0.705,12,0
1,9,112,6,403.33,2.515,0.461,38,1
1,8,24,6,234.63,2.682,0.116,42,1
3,0,185,4,358.06,3.38,0.182,36,1
2,7,44,3,321.1,3.078,0.246,16,1
2,0,117,0,489.04,2.493,0.063,65,0
2,4,31,0,472.0,2.842,0.711,67,1
2,9,169,0,0.0,3.111,0.367,39,1
1,7,156,5,375.61,0.966,0.094,99,1
0,5,103,1,423.26,1.202,0.82,118,0
2,6,48,3,0.0,0.0,0.684,59,1
1,7,0,2,80.66,3.476,0.452,79,1
1,5,128,3,185.94,1.932,0.247,38,0
2,5,46,5,194.1,0.0,0.152,16,1
0,5,74,7,245.5,1.256,0.458,81,1
0,4,152,1,126.17,1.958,0.885,98,0
1,7,71,1,273.29,1.825,0.188,74,1
2,1,32,6,348.45,3.756,0.569,11,1
2,6,61,6,273.81,1.499,0.962,28,1
0,3,162,1,349.61,2.148,0.637,91,0
0,0,98,0,79.9,1.155,0.44,102,0
3,4,0,2,444.19,2.324,0.716,82,0
3,2,69,1,472.58,3.501,0.825,111,1
0,3,21,4,328.06,1.564,0.591,112,1
1,6,106,0,446.63,3.338,0.872,94,1
2,4,126,7,109.15,3.69,0.515,77,1
0,3,0,7,408.85,0.755,0.83,80,0
2,0,66,2,103.62,3.147,0.952,2,1
1,5,108,4,233.6,1.394,0.501,20,0
0,9,197,2,195.72,1.114,0.605,76,0
2,5,31,0,313.52,2.604,0.609,93,1
